#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/vanme090/.conda/envs/mpa/bin/metaphlan /nesi/project/uoo02328/meriam/data/decontam_data/MS11107.collapsed.gz --input_type fastq --bowtie2out reports_jun23_database/MS11107_jun23_nreads.bt2.out --nproc 4 --bowtie2db metaphlan_databases/metaphlan_jun23 --read_min_len 30 -t rel_ab_w_read_stats --bt2_ps very-sensitive --index mpa_vJun23_CHOCOPhlAnSGB_202403 --offline -t rel_ab_w_read_stats
#61875798 reads processed
#Average read length 46.37518304006358
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:523488
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	2|1224|28216|80840|	0.31014	0.0004	2765
k__Bacteria|p__Chloroflexi|c__CFGB40431|o__OFGB40431|f__FGB40431	2|200795|||	0.23168	0.0003	634
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	2|1224|28211|356|	0.20372	0.00026	1591
k__Bacteria|p__Proteobacteria|c__CFGB33292|o__OFGB33292|f__FGB33292	2|1224|||	0.20099	0.00026	1056
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilia_unclassified|f__Thermoleophilia_unclassified	2|201174|1497346||	0.199	0.00026	888
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales|f__Miltoncostaeaceae	2|201174|1497346|2843198|2843199	0.17708	0.00023	681
k__Bacteria|p__Acidobacteria|c__CFGB49936|o__OFGB49936|f__FGB49936	2|57723|||	0.16988	0.00022	1259
k__Bacteria|p__Chloroflexi|c__CFGB3213|o__OFGB3213|f__FGB3213	2|200795|||	0.12993	0.00017	621
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__Iamiaceae	2|201174|84992|84993|633392	0.12061	0.00016	631
k__Bacteria|p__Actinobacteria|c__Actinobacteria_unclassified|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified	2|201174|||	0.11761	0.00015	523
k__Bacteria|p__Acidobacteria|c__CFGB72794|o__OFGB72794|f__FGB72794	2|57723|||	0.10068	0.00013	1400
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.08528	0.00011	246
k__Bacteria|p__Proteobacteria|c__CFGB83766|o__OFGB83766|f__FGB83766	2|1224|||	0.0815	0.00011	333
k__Bacteria|p__Bacteria_unclassified|c__CFGB44871|o__OFGB44871|f__FGB44871	2||||	0.07983	0.0001	320
k__Bacteria|p__Proteobacteria|c__CFGB15779|o__OFGB15779|f__FGB15779	2|1224|||	0.06893	9e-05	592
k__Bacteria|p__Proteobacteria|c__CFGB22535|o__OFGB22535|f__FGB22535	2|1224|||	0.05581	7e-05	309
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	2|201174|1760|85007|1762	0.05448	7e-05	454
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae	2|201174|1497346|588673|320599	0.05253	7e-05	454
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales|f__Euzebyaceae	2|201174|908620|908621|908622	0.04536	6e-05	189
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Steroidobacteraceae	2|1224|1236|1775403|2689614	0.04172	5e-05	193
k__Bacteria|p__Actinobacteria|c__CFGB81282|o__OFGB81282|f__FGB81282	2|201174|||	0.03924	5e-05	228
k__Bacteria|p__Proteobacteria|c__CFGB77407|o__OFGB77407|f__FGB77407	2|1224|||	0.03885	5e-05	292
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Usitatibacteraceae	2|1224|28216|32003|2803844	0.03755	5e-05	195
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0.03593	5e-05	478
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae	2|1239|1737404|1737405|1737406	0.03356	4e-05	108
k__Bacteria|p__Chloroflexi|c__CFGB2607|o__OFGB2607|f__FGB2607	2|200795|||	0.03186	4e-05	145
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Capillimicrobiaceae	2|201174|1497346|588673|2976758	0.02958	4e-05	229
k__Bacteria|p__Proteobacteria|c__CFGB14846|o__OFGB14846|f__FGB14846	2|1224|||	0.02515	3e-05	119
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Paraconexibacteraceae	2|201174|1497346|588673|2758916	0.02436	3e-05	164
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	0.02282	3e-05	254
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae	2|201174|1760|85012|2012	0.02251	3e-05	175
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Treboniaceae	2|201174|1760|85012|2767072	0.02248	3e-05	177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified	2|1224|28211|204441|	0.02102	3e-05	229
