,PC1,PC2,labels,name
SRR14842359,-1.6372458,3.8317344,Canis_familiaris,SRR14842359
SRR14842406,-4.0348577,-1.4010437,Canis_familiaris,SRR14842406
SRR14842324,-1.7040772,-5.9977584,Canis_familiaris,SRR14842324
SRR2175777,-20.076443,5.2499647,Homo_sapiens,SRR2175777
SRR14842335,8.111689,3.7240415,Canis_familiaris,SRR14842335
ERR1560094,19.573362,-4.679661,Sediment,ERR1560094
SRR14842410,-4.655125,-2.9149177,Canis_familiaris,SRR14842410
SRR14842363,8.102351,-2.6212847,Canis_familiaris,SRR14842363
SRR14842401,-2.7010057,4.9604044,Canis_familiaris,SRR14842401
SRR14842364,-4.1730094,2.6235945,Canis_familiaris,SRR14842364
SRR14842382,-1.9653032,1.5267555,Canis_familiaris,SRR14842382
SRR14842328,5.6564856,-3.4139745,Canis_familiaris,SRR14842328
SRR14842346,6.0414677,-3.6229997,Canis_familiaris,SRR14842346
ERR12814470,24.298447,-8.081619,Sediment,ERR12814470
SRR14842343,3.396127,1.9263445,Canis_familiaris,SRR14842343
SRR14842414,-4.6313715,6.422203,Canis_familiaris,SRR14842414
SRR14842342,7.146984,1.2962753,Canis_familiaris,SRR14842342
MS11679_kraken_2024-standard_conf0,10.068811,-5.315939,known,MS11679_kraken_2024-standard_conf0
MS11669_kraken_2024-standard_conf0,12.885035,-6.914611,known,MS11669_kraken_2024-standard_conf0
MS11774_kraken_2024-standard_conf0,11.961254,-4.246705,known,MS11774_kraken_2024-standard_conf0
MS11675_kraken_2024-standard_conf0,10.644278,-3.643877,known,MS11675_kraken_2024-standard_conf0
MS11683_kraken_2024-standard_conf0,10.097608,-5.2749963,known,MS11683_kraken_2024-standard_conf0
MS11686_kraken_2024-standard_conf0,11.329211,-4.7687974,known,MS11686_kraken_2024-standard_conf0
MS11673_kraken_2024-standard_conf0,13.434085,-6.1122527,known,MS11673_kraken_2024-standard_conf0
MS11771_kraken_2024-standard_conf0,11.385328,-6.8641267,known,MS11771_kraken_2024-standard_conf0
MS11775_kraken_2024-standard_conf0,11.050214,-2.9625301,known,MS11775_kraken_2024-standard_conf0
MS11677_kraken_2024-standard_conf0,11.532933,-3.9851418,known,MS11677_kraken_2024-standard_conf0
MS11670_kraken_2024-standard_conf0,12.960196,-3.1450248,known,MS11670_kraken_2024-standard_conf0
MS11770_kraken_2024-standard_conf0,12.559259,-6.009958,known,MS11770_kraken_2024-standard_conf0
MS11676_kraken_2024-standard_conf0,12.949423,-4.346926,known,MS11676_kraken_2024-standard_conf0
MS11674_kraken_2024-standard_conf0,13.513288,-4.1845326,known,MS11674_kraken_2024-standard_conf0
MS11684_kraken_2024-standard_conf0,11.729451,-5.8804975,known,MS11684_kraken_2024-standard_conf0
MS11678_kraken_2024-standard_conf0,12.5119705,-4.757426,known,MS11678_kraken_2024-standard_conf0
