clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__Parabacteroides_merdae	0.0	0.08873	0.0	0.0	0.05287	0.0	0.05925	0.07282	0.08514	0.11311	0.0	0.39731	0.0513	0.0	0.0049	0.13587
s__GGB9559_SGB14969	0.0	0.0857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_fragilis	0.0	0.0825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Faecalicatena_fissicatena	0.0	0.0815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyrivibrio_crossotus	0.0	0.08063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Stenotrophomonas_humi	0.0	0.07973	0.0	0.0	0.03088	0.00548	0.0	0.04218	5.14689	0.01629	0.0	0.0	0.03707	0.09807	0.00992	0.0
s__GGB9634_SGB15095	0.0	0.07419	0.0	0.0	0.0	0.0	0.0	0.06022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Collinsella_intestinalis	0.0	0.07328	0.0	0.37176	0.36392	0.48824	0.05907	0.09889	0.27653	0.35667	0.04045	0.62319	0.0	0.75282	0.14662	1.42397
s__GGB1385_SGB1890	0.0	0.07042	0.0	0.11543	0.02616	0.2589	0.67561	0.84542	0.42606	0.76792	0.61077	3.31287	0.41241	0.25733	1.19709	0.0
s__Simplicispira_psychrophila	0.0	0.06872	0.0	0.0	0.0	0.02033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00623	0.0	0.03244
s__Citrobacter_braakii	0.0	0.06791	0.0	0.0	0.2759	0.06873	0.0	0.01579	0.08995	0.0	0.24163	0.0	0.05977	0.00841	0.07894	0.0
s__Jeotgalicoccus_SGB96891	0.0	0.06499	0.23977	0.11407	0.0	0.3915	0.0	0.2556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB2631_SGB3548	0.0	0.0647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_sp_NKUCC02_KPG	0.0	0.05832	0.0	0.0	0.05468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02717	0.0	0.0
s__Flavobacterium_antarcticum	0.0	0.05601	0.0	0.0	0.00266	0.03387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00894
